ID,address name,first name,last name,company name,street address 1,street address 2,city,city area,postal code,country,country area,phone
1,,Patricia,Dean,,2996 Wallace Square,,Stevenfurt,,58575,US,ND,
2,,Monica,Blankenship,,4440 Cobb Vista Suite 991,,Lake Nicholasfurt,,81323,US,CO,
3,,Jeremy,Miller,,161 Cruz Lane Apt. 960,,Port Angela,,38265,US,TN,
4,,Benjamin,Jordan,,193 Amanda Shoal Apt. 149,,North Crystal,,20331,US,MD,
5,,Frank,Ball,,282 Payne Rue,,New Richardfort,,19757,US,DE,
6,,Valerie,Williams,,005 Smith Union Apt. 369,,Lucasmouth,,55941,US,MN,
7,,Mark,Johnson,,0344 George Camp Suite 241,,East Elizabethside,,80296,US,CO,
8,,Timothy,Glenn,,19831 Flores Forges,,Stanleyville,,99643,US,AK,
9,,Julie,Stephens,,234 Cheryl Mission,,West Adam,,25627,US,WV,
10,,Deborah,Graves,,62777 Christopher Haven Apt. 076,,Rachelland,,82050,US,WY,
11,,Debbie,Lynch,,33782 Michelle Union,,West Haroldton,,98768,US,WA,
12,,Jeanette,Brewer,,0568 Vargas Lights Apt. 944,,East Charlesshire,,96791,US,HI,
13,,Linda,Palmer,,12697 Logan Extensions,,South Jamesburgh,,50744,US,IA,
14,,Tammy,Barnes,,24973 Pacheco Brook Suite 086,,Jessicamouth,,37590,US,TN,
15,,Travis,Ho,,831 Gavin Drive,,Mirandaport,,85777,US,AZ,
16,,Michael,Randall,,6467 Bates Islands Suite 968,,West Laura,,04969,US,ME,
17,,Kimberly,Graham,,942 Parks Lane Apt. 257,,New Amyport,,02822,US,RI,
18,,Melissa,Miller,,60084 Rachel Ports Suite 306,,East Brenda,,17048,US,PA,
19,,Mallory,Esparza,,7992 Nunez Course,,Popeside,,84097,US,UT,
20,,Jessica,Jordan,,6858 Ho Cliff Suite 846,,Port Aaronshire,,95034,US,CA,
21,,Alicia,Davis,,30122 Dwayne Mission,,Jacobshaven,,55295,US,MN,
22,,Johnathan,Mccoy,,2324 Stein Vista,,South Brendamouth,,71161,US,LA,
23,,Jennifer,Miller,,57710 Morris Knoll,,Mcclainside,,36002,US,AL,
24,Office,Yılmaz Firca,,Yılmaz Firca San. ve Tic. A.S.,Organize Sanayi Bölgesi Gri Cad., ,Bursa,,16159,TR,Nilufer,
25,Office,Mahmut Yarim,,Mahmut Yarim Gida,Iskenderun Road 12. Km Antakya / HATAY, ,Hatay,,,TR,,
26,Office,DURMAZLAR,,DURMAZLAR MAKİNA SAN.VE TİC.A.Ş.,"OSB 75. Yıl Bulvarı No:4
16140  ", ,Bursa,,,TR,Nilüfer,+902242191800
27,Office,Arbel Bakliyat,,Arbel Bakliyat Hububat,,,,,,TR,,
28,Office,Türk Traktor,,TÜRK TRAKTÖR VE ZİRAAT MAK.A.Ş.,Gazi Mahallesi Anadolu Bulvarı No:52 - 52A,,Ankara,,,TR,Yenimahalle,+903122333333
29,Office,ORTADOĞU RULMAN,,ORTADOĞU RULMAN SAN.TİC.A.Ş. , İstiklal Mahallesi Hacı Bayram Veli Bulvarı No:76/A, ,Ankara,,,TR,Polatlı,+903126480010
30,Office,LIA FRUIT UYANIKLAR,,UYANIKLAR GROUP,Uluderbent Alasehir,,Manisa,,45600,TR,,+902366733064
31,Office,SOLEN,,Solen,4. Organize Sanayi Bölgesi 83412 No’lu Cadde No:4, ,Gaziantep,,,TR,SehitKamil,0090 342 337 27 37
33,Office,ERMAKSAN MAKİNA,,ERMAKSAN MAKİNA SAN.VE TİC. A.Ş.,Organize Sanayi Bölgesi Lacivert Cad. No:6 , ,Bursa,,,TR,Nilüfer,+902242947500
34,Office,HİDROMEK ,,HİDROMEK HİDROLİK VE MEKANİK  İML.SAN.VE TİC.A.Ş. , Ahi Evran OSB Mahallesi Osmanlı Caddesi No:1, ,Ankara,,,TR,Sincan,
35,Office,Kros Otomotiv,,Kros Otomotiv San. Tic. A.S.,Organize Sanayi Bölgesi , ,Kütahya,,,TR,Alayunt,=9027466250
36,Office,SANKO ,,SANKO TEKS.İŞLETMELERİ SAN.VE TİC.A.Ş,"Burak Mah, Sani Konukoğlu Bulvarı, No:223", ,Gaziantep,,,TR,Şehitkamil,
37,Office,CIMSATAS,,ÇUKUROVA İNŞAAT MAKİNALARI SAN .TİC.A.Ş.,Bahçeli Kürkçü Mah. Adana Yolu No: 53/A, ,MERSİN,,,TR,Akdeniz,
38,Office,ELKON BETON MAKİNALARI,,ELKON BETON MAKİNALARI SAN. VE TİC. A.Ş.,"Gazeteciler Sitesi, Dergiler Sokak No:13", ,Istanbul,,,TR,Esentepe,
39,Office,KUTLUSAN TARIM EKİPMAN,,KUTLUSAN TARIM EKİPMAN  LOJİSTİK GIDA SAN. İÇ VE DIŞ TİC.LTD.ŞTİ ,ARMUTLU OVASI AKALAN MAH.BAĞIMSIZLIK KÜME EVLERİ NO:106, ,İZMİR,,,TR,KEMALPAŞA,
40,Office,ESTAŞ ,,ESTAŞ KAM MİLİ İML.İTH.İHR.SAN .TİC.LTD.ŞTİ.,ŞEYH ŞAMİL OSB MAH. HALİS VERMEZOĞLU CAD. NO:57, ,Sivas,,,TR,,
41,Office,DİRİNLER DÖKÜM,,DİRİNLER DÖKÜM SANAYİ TURİZM LİMAN İŞLETMECİLİĞİ VE TİC..A.Ş.,Atatürk Blv. No:57 P.K.35620 A.O.S.B., ,İZMİR,,,TR,Çiğli,
42,Office,DALGAKIRAN KOMPRESÖR,,DALGAKIRAN KOMPRESÖR SAN.VE TİC. LTD. ŞTİ. ,Eyüp Sultan Mh. Müminler Cd. No:70 34885, ,İstanbul,,,TR,Sancaktepe,
43,Office,BİRİNCİ OTOMOTİV ,,BİRİNCİ OTOMOTİV SANAYİ VE TİCARET A.Ş.,"TAYSAD ORGANİZE SANAYİ, 2. CADDE,
NO:1 41420 ", ,Kocaeli,,,TR,Şekerpınar,
45,Office,LIDER EVCIL HAYVAN ,,Lider Evcil Hayvan Beslenme Sanayi ve Ticaret Lt,Anadolu Cad. No.41 Kat.10 D.101,,Izmir,,,TR,Bayrakli ,0090 232 479 23 13
46,Office,BELINAY TARIM ,,Belinay TARIM,"Zeytinlik Mah, 7641 Sokak, No:16/1",,Antalya,,,TR,Kepez,0090 242 341 40 86
47,Office,DERVISOGLU TARIM,,Dervisoglu Tarim Urunleri,,,,,,TR,,
48,Office,Korkut Yag Sabun,,Korkut Yag Sabun Sanayi,Organize Sanayi Sitesi 869 Sk. No:11 Kuruçay Mevkii ,,Balikesir ,,,TR,EDREMİT,
49,Office,Kocabag Saraplari,,Kocabag Saraplari,Adnan Menderes cad. No:40 Güvercinlik Vadisi,,Nevsehir,,,TR,Uchisar,0090384 219 29 79
50,,Lauren,Martinez,,606 Higgins Parkways,,South Joshua,,54787,US,WI,
51,,Kevin,Berger,,731 Gregory Pine,,Port Ianfurt,,02857,US,RI,
52,Office,Yılmaz Firca,,Yılmaz Firca San. ve Tic. A.S.,Organize Sanayi Bölgesi Gri Cad., ,Bursa,,16159,TR,Nilufer,
53,Office,Mahmut Yarim,,Mahmut Yarim Gida,Iskenderun Road 12. Km Antakya / HATAY, ,Hatay,,,TR,,
54,Office,DURMAZLAR,,DURMAZLAR MAKİNA SAN.VE TİC.A.Ş.,"OSB 75. Yıl Bulvarı No:4
16140  ", ,Bursa,,,TR,Nilüfer,+902242191800
55,Office,Arbel Bakliyat ,,Arbel Bakliyat Hububat,,,,,,TR,,
56,Office,Türk Traktor,,TÜRK TRAKTÖR VE ZİRAAT MAK.A.Ş.,Gazi Mahallesi Anadolu Bulvarı No:52 - 52A,,Ankara,,,TR,Yenimahalle,+903122333333
57,Office,ORTADOĞU RULMAN,,ORTADOĞU RULMAN SAN.TİC.A.Ş. , İstiklal Mahallesi Hacı Bayram Veli Bulvarı No:76/A, ,Ankara,,,TR,Polatlı,+903126480010
58,Office,LIA FRUIT UYANIKLAR,,UYANIKLAR GROUP,"Uluderbent, 45600",,Manisa,,,TR,Alasehir,+902366733064
59,Office,SOLEN,,Solen,4. Organize Sanayi Bölgesi 83412 No’lu Cadde No:4, ,Gaziantep,,,TR,SehitKamil,0090 342 337 27 37
60,Office,BASHAN,,Bashan Tarimsal Urun,,,,,,TR,,
61,Office,ERMAKSAN MAKİNA,,ERMAKSAN MAKİNA SAN.VE TİC. A.Ş.,Organize Sanayi Bölgesi Lacivert Cad. No:6 , ,Bursa,,,TR,Nilüfer,+902242947500
62,Office,HİDROMEK ,,HİDROMEK HİDROLİK VE MEKANİK  İML.SAN.VE TİC.A.Ş. , Ahi Evran OSB Mahallesi Osmanlı Caddesi No:1, ,Ankara,,,TR,Sincan,
63,Office,Kros Otomotiv,,Kros Otomotiv San. Tic. A.S.,Organize Sanayi Bölgesi , ,Kütahya,,,TR,Alayunt,=9027466250
64,Office,SANKO ,,SANKO TEKS.İŞLETMELERİ SAN.VE TİC.A.Ş,"Burak Mah, Sani Konukoğlu Bulvarı, No:223", ,Gaziantep,,,TR,Şehitkamil,
65,Office,CIMSATAS,,ÇUKUROVA İNŞAAT MAKİNALARI SAN .TİC.A.Ş.,Bahçeli Kürkçü Mah. Adana Yolu No: 53/A, ,MERSİN,,,TR,Akdeniz,
66,Office,ELKON BETON MAKİNALARI,,ELKON BETON MAKİNALARI SAN. VE TİC. A.Ş.,"Gazeteciler Sitesi, Dergiler Sokak No:13", ,Istanbul,,,TR,Esentepe,
67,Office,KUTLUSAN TARIM EKİPMAN,,KUTLUSAN TARIM EKİPMAN  LOJİSTİK GIDA SAN. İÇ VE DIŞ TİC.LTD.ŞTİ ,ARMUTLU OVASI AKALAN MAH.BAĞIMSIZLIK KÜME EVLERİ NO:106, ,İZMİR,,,TR,KEMALPAŞA,
68,Office,ESTAŞ ,,ESTAŞ KAM MİLİ İML.İTH.İHR.SAN .TİC.LTD.ŞTİ.,ŞEYH ŞAMİL OSB MAH. HALİS VERMEZOĞLU CAD. NO:57, ,Sivas,,,TR,,
69,Office,DİRİNLER DÖKÜM,,DİRİNLER DÖKÜM SANAYİ TURİZM LİMAN İŞLETMECİLİĞİ VE TİC..A.Ş.,Atatürk Blv. No:57 P.K.35620 A.O.S.B., ,İZMİR,,,TR,Çiğli,
