ID,product,offer,name,seller,user,quantity,message,country,is closed,created at,updated at
120,apple,,abc,okdemo,abc@gmail.com,2,vc,AS,False,06/09/2021,06/09/2021
119,apple,,abc,okdemo,abc@gmail.com,2,vc,AS,False,06/09/2021,06/09/2021
118,vsfv,,asdfwer,shreya12,6danger@nevadaibm.com,400,gsgrsgtrgre,IN,False,06/09/2021,06/09/2021
117,Anise Seed ,,asdfwer,,6danger@nevadaibm.com,400,gsgrsgtrgre,IN,False,06/09/2021,06/09/2021
116,Anise Seed ,,asdfwer,,6danger@nevadaibm.com,400,gsgrsgtrgre,IN,False,06/09/2021,06/09/2021
115,Anise Seed ,,asdfwer,,6danger@nevadaibm.com,400,gsgrsgtrgre,IN,False,06/09/2021,06/09/2021
114,Anise Seed ,,asdfwer,,6danger@nevadaibm.com,400,gsgrsgtrgre,IN,False,06/09/2021,06/09/2021
113,Anise Seed ,,asdfwer,,6danger@nevadaibm.com,400,gsgrsgtrgre,IN,False,06/09/2021,06/09/2021
112,apple,,Dinesh,,,200,test,CA,False,06/09/2021,06/09/2021
111,mango,,abc,,,1,fdhg,AG,False,06/09/2021,06/09/2021
110,apple,,Leena,,,10,New ,AU,False,06/09/2021,06/09/2021
109,apple,,Leena,,,10,hello,AU,False,06/09/2021,06/09/2021
108,apple,,fgh,,,1,sadsa,AG,False,06/09/2021,06/09/2021
107,mango,,fgh,,,1,thyfg,AR,False,06/09/2021,06/09/2021
106,apple,,fgh,,,1,"m,",AG,False,06/09/2021,06/09/2021
105,csdvd,,sad,,,1,sadad,AI,False,03/09/2021,03/09/2021
104,vsfv,,gh,,,6,5465,AL,False,03/09/2021,03/09/2021
103,apple,,fc,,,1,bhyh,AL,False,03/09/2021,03/09/2021
102,mango,,okdemo@mailinator.com,,,2,adsa,AR,False,03/09/2021,03/09/2021
101,apple,,okdemo@mailinator.com,,,3,sadsad,AQ,False,03/09/2021,03/09/2021
100,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
99,mango,,avc,,,1,fdvfg,DZ,False,03/09/2021,03/09/2021
98,apple,,avc,,,1,d vcvc,DZ,False,03/09/2021,03/09/2021
97,apple,,avc,,,1,gfdfb,AL,False,03/09/2021,03/09/2021
96,apple,,fghfg,,,1,fdbgf,AQ,False,03/09/2021,03/09/2021
95,apple,,fghfg,,,1,fdbgf,AQ,False,03/09/2021,03/09/2021
94,apple,,fghfg,,,1,fdbgf,AQ,False,03/09/2021,03/09/2021
93,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
92,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
91,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
90,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
89,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
88,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
87,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
86,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
85,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
84,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
83,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
82,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
81,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
80,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
79,apple,,as,,,2,asdsad,AR,False,03/09/2021,03/09/2021
